2025-01-28 06:56:24 configure perl-base:amd64 5.36.0-7+deb12u1 5.36.0-7+deb12u1
2025-01-28 06:56:24 status half-configured perl-base:amd64 5.36.0-7+deb12u1
2025-01-28 06:56:24 status installed perl-base:amd64 5.36.0-7+deb12u1
2025-01-28 06:56:24 startup archives install
2025-01-28 06:56:24 install mawk:amd64 <none> 1.3.4.20200120-3.1
2025-01-28 06:56:24 status half-installed mawk:amd64 1.3.4.20200120-3.1
2025-01-28 06:56:24 status unpacked mawk:amd64 1.3.4.20200120-3.1
2025-01-28 06:56:24 configure mawk:amd64 1.3.4.20200120-3.1 1.3.4.20200120-3.1
2025-01-28 06:56:24 status half-configured mawk:amd64 1.3.4.20200120-3.1
2025-01-28 06:56:24 status installed mawk:amd64 1.3.4.20200120-3.1
2025-01-28 06:56:24 startup archives unpack
2025-01-28 06:56:24 install adduser:all <none> 3.134
2025-01-28 06:56:24 status half-installed adduser:all 3.134
2025-01-28 06:56:24 status unpacked adduser:all 3.134
2025-01-28 06:56:24 install apt:amd64 <none> 2.6.1
2025-01-28 06:56:24 status half-installed apt:amd64 2.6.1
2025-01-28 06:56:24 status unpacked apt:amd64 2.6.1
2025-01-28 06:56:24 upgrade base-files:amd64 12.4+deb12u9 12.4+deb12u9
2025-01-28 06:56:24 status half-configured base-files:amd64 12.4+deb12u9
2025-01-28 06:56:24 status unpacked base-files:amd64 12.4+deb12u9
2025-01-28 06:56:24 status half-installed base-files:amd64 12.4+deb12u9
2025-01-28 06:56:24 status unpacked base-files:amd64 12.4+deb12u9
2025-01-28 06:56:24 upgrade base-passwd:amd64 3.6.1 3.6.1
2025-01-28 06:56:24 status half-configured base-passwd:amd64 3.6.1
2025-01-28 06:56:24 status unpacked base-passwd:amd64 3.6.1
2025-01-28 06:56:24 status half-installed base-passwd:amd64 3.6.1
2025-01-28 06:56:24 status unpacked base-passwd:amd64 3.6.1
2025-01-28 06:56:24 install bash:amd64 <none> 5.2.15-2+b7
2025-01-28 06:56:24 status half-installed bash:amd64 5.2.15-2+b7
2025-01-28 06:56:25 status unpacked bash:amd64 5.2.15-2+b7
2025-01-28 06:56:25 install bsdutils:amd64 <none> 1:2.38.1-5+deb12u3
2025-01-28 06:56:25 status half-installed bsdutils:amd64 1:2.38.1-5+deb12u3
2025-01-28 06:56:25 status unpacked bsdutils:amd64 1:2.38.1-5+deb12u3
2025-01-28 06:56:25 install coreutils:amd64 <none> 9.1-1
2025-01-28 06:56:25 status half-installed coreutils:amd64 9.1-1
2025-01-28 06:56:25 status unpacked coreutils:amd64 9.1-1
2025-01-28 06:56:25 install dash:amd64 <none> 0.5.12-2
2025-01-28 06:56:25 status half-installed dash:amd64 0.5.12-2
2025-01-28 06:56:25 status unpacked dash:amd64 0.5.12-2
2025-01-28 06:56:25 install debconf:all <none> 1.5.82
2025-01-28 06:56:25 status half-installed debconf:all 1.5.82
2025-01-28 06:56:25 status unpacked debconf:all 1.5.82
2025-01-28 06:56:25 install debian-archive-keyring:all <none> 2023.3+deb12u1
2025-01-28 06:56:25 status half-installed debian-archive-keyring:all 2023.3+deb12u1
2025-01-28 06:56:25 status unpacked debian-archive-keyring:all 2023.3+deb12u1
2025-01-28 06:56:25 install debianutils:amd64 <none> 5.7-0.5~deb12u1
2025-01-28 06:56:25 status half-installed debianutils:amd64 5.7-0.5~deb12u1
2025-01-28 06:56:25 status unpacked debianutils:amd64 5.7-0.5~deb12u1
2025-01-28 06:56:25 install diffutils:amd64 <none> 1:3.8-4
2025-01-28 06:56:25 status half-installed diffutils:amd64 1:3.8-4
2025-01-28 06:56:25 status unpacked diffutils:amd64 1:3.8-4
2025-01-28 06:56:25 upgrade dpkg:amd64 1.21.22 1.21.22
2025-01-28 06:56:25 status half-configured dpkg:amd64 1.21.22
2025-01-28 06:56:25 status unpacked dpkg:amd64 1.21.22
2025-01-28 06:56:25 status half-installed dpkg:amd64 1.21.22
2025-01-28 06:56:25 status unpacked dpkg:amd64 1.21.22
2025-01-28 06:56:25 install e2fsprogs:amd64 <none> 1.47.0-2
2025-01-28 06:56:25 status half-installed e2fsprogs:amd64 1.47.0-2
2025-01-28 06:56:25 status unpacked e2fsprogs:amd64 1.47.0-2
2025-01-28 06:56:26 install findutils:amd64 <none> 4.9.0-4
2025-01-28 06:56:26 status half-installed findutils:amd64 4.9.0-4
2025-01-28 06:56:26 status unpacked findutils:amd64 4.9.0-4
2025-01-28 06:56:26 install gcc-12-base:amd64 <none> 12.2.0-14
2025-01-28 06:56:26 status half-installed gcc-12-base:amd64 12.2.0-14
2025-01-28 06:56:26 status unpacked gcc-12-base:amd64 12.2.0-14
2025-01-28 06:56:26 install gpgv:amd64 <none> 2.2.40-1.1
2025-01-28 06:56:26 status half-installed gpgv:amd64 2.2.40-1.1
2025-01-28 06:56:26 status unpacked gpgv:amd64 2.2.40-1.1
2025-01-28 06:56:26 install grep:amd64 <none> 3.8-5
2025-01-28 06:56:26 status half-installed grep:amd64 3.8-5
2025-01-28 06:56:26 status unpacked grep:amd64 3.8-5
2025-01-28 06:56:26 install gzip:amd64 <none> 1.12-1
2025-01-28 06:56:26 status half-installed gzip:amd64 1.12-1
2025-01-28 06:56:26 status unpacked gzip:amd64 1.12-1
2025-01-28 06:56:26 install hostname:amd64 <none> 3.23+nmu1
2025-01-28 06:56:26 status half-installed hostname:amd64 3.23+nmu1
2025-01-28 06:56:26 status unpacked hostname:amd64 3.23+nmu1
2025-01-28 06:56:26 install init-system-helpers:all <none> 1.65.2
2025-01-28 06:56:26 status half-installed init-system-helpers:all 1.65.2
2025-01-28 06:56:26 status unpacked init-system-helpers:all 1.65.2
2025-01-28 06:56:26 install libacl1:amd64 <none> 2.3.1-3
2025-01-28 06:56:26 status half-installed libacl1:amd64 2.3.1-3
2025-01-28 06:56:26 status unpacked libacl1:amd64 2.3.1-3
2025-01-28 06:56:26 install libapt-pkg6.0:amd64 <none> 2.6.1
2025-01-28 06:56:26 status half-installed libapt-pkg6.0:amd64 2.6.1
2025-01-28 06:56:26 status unpacked libapt-pkg6.0:amd64 2.6.1
2025-01-28 06:56:26 install libattr1:amd64 <none> 1:2.5.1-4
2025-01-28 06:56:26 status half-installed libattr1:amd64 1:2.5.1-4
2025-01-28 06:56:26 status unpacked libattr1:amd64 1:2.5.1-4
2025-01-28 06:56:26 install libaudit-common:all <none> 1:3.0.9-1
2025-01-28 06:56:26 status half-installed libaudit-common:all 1:3.0.9-1
2025-01-28 06:56:26 status unpacked libaudit-common:all 1:3.0.9-1
2025-01-28 06:56:26 install libaudit1:amd64 <none> 1:3.0.9-1
2025-01-28 06:56:26 status half-installed libaudit1:amd64 1:3.0.9-1
2025-01-28 06:56:26 status unpacked libaudit1:amd64 1:3.0.9-1
2025-01-28 06:56:26 install libblkid1:amd64 <none> 2.38.1-5+deb12u3
2025-01-28 06:56:26 status half-installed libblkid1:amd64 2.38.1-5+deb12u3
2025-01-28 06:56:26 status unpacked libblkid1:amd64 2.38.1-5+deb12u3
2025-01-28 06:56:26 install libbz2-1.0:amd64 <none> 1.0.8-5+b1
2025-01-28 06:56:26 status half-installed libbz2-1.0:amd64 1.0.8-5+b1
2025-01-28 06:56:26 status unpacked libbz2-1.0:amd64 1.0.8-5+b1
2025-01-28 06:56:26 install libc-bin:amd64 <none> 2.36-9+deb12u9
2025-01-28 06:56:26 status half-installed libc-bin:amd64 2.36-9+deb12u9
2025-01-28 06:56:26 status unpacked libc-bin:amd64 2.36-9+deb12u9
2025-01-28 06:56:26 upgrade libc6:amd64 2.36-9+deb12u9 2.36-9+deb12u9
2025-01-28 06:56:26 status half-configured libc6:amd64 2.36-9+deb12u9
2025-01-28 06:56:26 status unpacked libc6:amd64 2.36-9+deb12u9
2025-01-28 06:56:26 status half-installed libc6:amd64 2.36-9+deb12u9
2025-01-28 06:56:27 status unpacked libc6:amd64 2.36-9+deb12u9
2025-01-28 06:56:27 install libcap-ng0:amd64 <none> 0.8.3-1+b3
2025-01-28 06:56:27 status half-installed libcap-ng0:amd64 0.8.3-1+b3
2025-01-28 06:56:27 status unpacked libcap-ng0:amd64 0.8.3-1+b3
2025-01-28 06:56:27 install libcap2:amd64 <none> 1:2.66-4
2025-01-28 06:56:27 status half-installed libcap2:amd64 1:2.66-4
2025-01-28 06:56:27 status unpacked libcap2:amd64 1:2.66-4
2025-01-28 06:56:27 install libcom-err2:amd64 <none> 1.47.0-2
2025-01-28 06:56:27 status half-installed libcom-err2:amd64 1.47.0-2
2025-01-28 06:56:27 status unpacked libcom-err2:amd64 1.47.0-2
2025-01-28 06:56:27 install libcrypt1:amd64 <none> 1:4.4.33-2
2025-01-28 06:56:27 status half-installed libcrypt1:amd64 1:4.4.33-2
2025-01-28 06:56:27 status unpacked libcrypt1:amd64 1:4.4.33-2
2025-01-28 06:56:27 install libdb5.3:amd64 <none> 5.3.28+dfsg2-1
2025-01-28 06:56:27 status half-installed libdb5.3:amd64 5.3.28+dfsg2-1
2025-01-28 06:56:27 status unpacked libdb5.3:amd64 5.3.28+dfsg2-1
2025-01-28 06:56:27 install libdebconfclient0:amd64 <none> 0.270
2025-01-28 06:56:27 status half-installed libdebconfclient0:amd64 0.270
2025-01-28 06:56:27 status unpacked libdebconfclient0:amd64 0.270
2025-01-28 06:56:27 install libext2fs2:amd64 <none> 1.47.0-2
2025-01-28 06:56:27 status half-installed libext2fs2:amd64 1.47.0-2
2025-01-28 06:56:27 status unpacked libext2fs2:amd64 1.47.0-2
2025-01-28 06:56:27 install libffi8:amd64 <none> 3.4.4-1
2025-01-28 06:56:27 status half-installed libffi8:amd64 3.4.4-1
2025-01-28 06:56:27 status unpacked libffi8:amd64 3.4.4-1
2025-01-28 06:56:27 install libgcc-s1:amd64 <none> 12.2.0-14
2025-01-28 06:56:27 status half-installed libgcc-s1:amd64 12.2.0-14
2025-01-28 06:56:27 status unpacked libgcc-s1:amd64 12.2.0-14
2025-01-28 06:56:27 install libgcrypt20:amd64 <none> 1.10.1-3
2025-01-28 06:56:27 status half-installed libgcrypt20:amd64 1.10.1-3
2025-01-28 06:56:27 status unpacked libgcrypt20:amd64 1.10.1-3
